cid;title;author;genre;year;source
2080;Discurso sobre a História da Literatura do Brasil;Domingos Gonçalves de Magalhães;Classic;1836;pportal
16931;Dom Casmurro;Machado de Assis;Classic;1899;pportal
16998;Dona Guidinha do Poço;Manuel de Oliveira Paiva;Fiction;1885;pportal
17393;Dívida Extinta;Machado de Assis;Classic;1878;pportal
17396;Elogio da vaidade;Machado de Assis;Short-Story;1878;pportal
2031;Encarnação;José de Alencar;Romance;1877;pportal
17398;Encher tempo;Machado de Assis;Fiction;1876;pportal
1966;Entre Santos;Machado de Assis;Classic;1886;pportal
17886;Entre duas datas;Machado de Assis;Fiction;1884;pportal
16521;Eurico, o Presbítero;Alexandre Herculano;Classic;1844;pportal
17400;Felicidade pelo Casamento;Machado de Assis;Classic;1866;pportal
16530;Filomena Borges;Aluísio Azevedo;Classic;1884;pportal
17407;Filosofia de um par de botas;Machado de Assis;Classic;1878;pportal
17913;Flor anônima;Machado de Assis;Fiction;1897;pportal
16939;Frei Simão;Machado de Assis;Fiction;1864;pportal
1914;Fulano;Machado de Assis;Short-Story;1884;pportal
1908;Galeria Póstuma;Machado de Assis;Fiction;1883;pportal
1898;Goivos e Camélias;Machado de Assis;Classic;1865;pportal
16940;Helena;Machado de Assis;Classic;1876;pportal
17895;História comum;Machado de Assis;Fiction;1883;pportal
16941;História de Quinze Dias;Machado de Assis;Classic;1884;pportal
17414;História de uma lágrima;Machado de Assis;Classic;1867;pportal
81609;História do compadre rico e do compadre pobre;Adolfo Coelho;Fiction;1875;pportal
1893;Histórias da Meia-Noite;Machado de Assis;Short-Story;1873;pportal
1902;Histórias sem Data;Machado de Assis;Fiction;1884;pportal
17415;Hoje Avental, amanhã Luva;Machado de Assis;Classic;1860;pportal
1971;Iaiá Garcia;Machado de Assis;Fiction;1878;pportal
16944;Idéias do Canário;Machado de Assis;Classic;1895;pportal
17500;Inocência;Visconde de Taunay;Fiction;1872;pportal
17320;Inspirações da Tarde;Bernardo Guimarães;Classic;1872;pportal
2029;Iracema;José de Alencar;Classic;1865;pportal
17425;João Fernandes;Machado de Assis;Classic;1894;pportal
3742;Lendas e Narrativas (Tomo I);Alexandre Herculano;Fiction;1851;pportal
17427;Longe dos Olhos;Machado de Assis;Fiction;1876;pportal
2047;Lucíola;José de Alencar;Fiction;1862;pportal
1880;Luís Soares;Machado de Assis;Short-Story;1869;pportal
1933;Lágrimas de Xerxes;Machado de Assis;Fiction;1899;pportal
1917;Manuscrito de um Sacristão;Machado de Assis;Fiction;1884;pportal
2007;Mateus e Mateusa;Qorpo Santo;Fiction;1874;pportal
16953;Memórias Póstumas de Brás Cubas;Machado de Assis;Classic;1881;pportal
16987;Memórias de um Sargento de Milícias;Manuel Antônio de Almeida;Classic;1854;pportal
17435;Metafísica das Rosas;Machado de Assis;Classic;1883;pportal
86500;Meus oito anos;Casimiro de Abreu;Classic;1859;pportal
1879;Miss Dollar;Machado de Assis;Classic;1870;pportal
1931;Missa do Galo;Machado de Assis;Short-Story;1893;pportal
7473;Morta que Mata;Artur Azevedo;Classic;1888;pportal
7475;Na Exposição;Artur Azevedo;Classic;1884;pportal
17445;Nem uma nem outra;Machado de Assis;Classic;1873;pportal
86456;No álbum de J. C. M.;Casimiro de Abreu;Classic;1860;pportal
1916;Noite de Almirante;Machado de Assis;Classic;1884;pportal
16956;Notas Semanais;Machado de Assis;Classic;1878;pportal
2145;Não Consultes Médico;Machado de Assis;Classic;1896;pportal
17438;Não consultes Médico;Machado de Assis;Classic;1896;pportal
17443;Não é mel para a boca do asno;Machado de Assis;Classic;1868;pportal
7477;O 15 e o 17;Artur Azevedo;Classic;1876;pportal
7401;O Alcaide de Santarém;Alexandre Herculano;Classic;1851;pportal
2027;O Alienista;Machado de Assis;Classic;1881;pportal
1945;O Anel de Polícrates;Machado de Assis;Short-Story;1882;pportal
2020;O Ateneu;Raul Pompéia;Fiction;1888;pportal
7543;O BAILE DO JUDEU;Inglês de Sousa;Fiction;1870;pportal
2068;O Badejo;Artur Azevedo;Fiction;1898;pportal
16522;O Bispo Negro;Alexandre Herculano;Fiction;1843;pportal
5030;O Bobo;Alexandre Herculano;Fiction;1878;pportal
2073;O Cabeleira;Franklin Távora;Fiction;1876;pportal
7402;O Castelo da Faria;Alexandre Herculano;Classic;1836;pportal
2018;O Cortiço;Aluísio Azevedo;Classic;1890;pportal
16959;O Cônego ou Metafísica do Estilo;Machado de Assis;Fiction;1885;pportal
1977;O Diplomático;Machado de Assis;Fiction;1884;pportal
2256;O Elixir da Longa Vida;Honoré de Balzac;Short-Story;1830;pportal
1946;O Empréstimo;Machado de Assis;Fiction;1882;pportal
16962;O Enfermeiro;Machado de Assis;Classic;1884;pportal
16584;O Ermitão de Muquém;Bernardo Guimarães;Romance;1864;pportal
2084;O Ermitão do Muquém;Bernardo Guimarães;Romance;1864;pportal
2085;O Escravocrata;Artur Azevedo;Classic;1884;pportal
1948;O Espelho;Machado de Assis;Short-Story;1882;pportal
1841;O Garatuja;José de Alencar;Romance;1873;pportal
1776;O Garimpeiro;Bernardo Guimarães;Classic;1872;pportal
1842;O Gaúcho;José de Alencar;Fiction;1870;pportal
1843;O Guarani;José de Alencar;Fiction;1857;pportal
1904;O Lapso;Machado de Assis;Classic;1883;pportal
7486;O Lencinho;Artur Azevedo;Classic;1875;pportal
16536;O Livro de uma Sogra;Aluísio Azevedo;Fiction;1895;pportal
2099;O Mambembe;Artur Azevedo;Classic;1882;pportal
16663;O Missionário;Inglês de Sousa;Fiction;1891;pportal
14021;O Mistério da Estrada de Sintra;José Maria Eça de Queirós;Classic;1870;pportal
2107;O Moço Loiro;Joaquim Manuel de Macedo;Fiction;1845;pportal
2024;O Mulato;Aluísio Azevedo;Fiction;1881;pportal
1992;O Namorador ou a Noite de São João;Luís Carlos Martins Pena;Fiction;1862;pportal
17472;O Oráculo;Machado de Assis;Fiction;1866;pportal
17478;O Passado, passado;Machado de Assis;Fiction;1876;pportal
1900;O Relógio de Ouro;Machado de Assis;Classic;1873;pportal
16680;O Rio de Janeiro - Verso e Reverso;José de Alencar;Classic;1862;pportal
16573;O Rio de Janeiro 1877;Artur Azevedo;Classic;1877;pportal
1770;O Rio de Janeiro em 1877;Artur Azevedo;Classic;1877;pportal
16964;O Segredo de Augusta;Machado de Assis;Fiction;1868;pportal
1944;O Segredo do Bonzo;Machado de Assis;Fiction;1882;pportal
16585;O Seminarista;Bernardo Guimarães;Fiction;1872;pportal
1848;O Sertanejo;José de Alencar;Fiction;1875;pportal
7492;O Sonho do Conselheiro;Artur Azevedo;Classic;1879;pportal
16965;O Teles e o Tobias;Machado de Assis;Classic;1872;pportal
16574;O Tribofe;Artur Azevedo;Classic;1886;pportal
17451;O anjo Rafael;Machado de Assis;Classic;1869;pportal
17447;O anjo das donzelas;Machado de Assis;Fiction;1864;pportal
17452;O astrólogo;Machado de Assis;Fiction;1876;pportal
17457;O califa de platina;Machado de Assis;Classic;1878;pportal
17459;O caminho da porta;Machado de Assis;Fiction;1863;pportal
17462;O caminho de Damasco;Machado de Assis;Fiction;1871;pportal
17463;O capitão Mendonça;Machado de Assis;Classic;1870;pportal
17469;O caso Barreto;Machado de Assis;Fiction;1892;pportal
17465;O caso da Viúva;Machado de Assis;Classic;1881;pportal
17885;O caso do Romualdo;Machado de Assis;Fiction;1884;pportal
17894;O destinado;Machado de Assis;Classic;1883;pportal
17899;O imortal;Machado de Assis;Classic;1882;pportal
17902;O machete;Machado de Assis;Short-Story;1878;pportal
17888;O melhor remédio;Machado de Assis;Classic;1884;pportal
17480;O que são as moças;Machado de Assis;Fiction;1866;pportal
16678;O que é o Casamento?;José de Alencar;Classic;1861;pportal
17904;O sainete;Machado de Assis;Fiction;1875;pportal
7519;O seminarista;Bernardo Guimarães;Fiction;1872;pportal
7562;O soldado Jacob;José Joaquim Medeiros de Albuquerque;Fiction;1883;pportal
7494;O Último Palpite;Artur Azevedo;Classic;1881;pportal
17483;O Último dia de um poeta;Machado de Assis;Classic;1860;pportal
1798;Ondas e Outros Poemas Esparsos;Euclides da Cunha;Classic;1883;pportal
17486;Onze anos depois;Machado de Assis;Classic;1875;pportal
17487;Orai por ele;Machado de Assis;Classic;1895;pportal
1779;Os Brilhantes do Brasileiro;Camilo Castelo Branco;Fiction;1869;pportal
7496;Os Compadres;Artur Azevedo;Classic;1892;pportal
7497;Os Dez por Cento;Artur Azevedo;Classic;1893;pportal
2158;Os Dois Amores;Joaquim Manuel de Macedo;Romance;1848;pportal
7498;Os Dois Andares;Artur Azevedo;Classic;1897;pportal
17498;Os deuses de casaca;Machado de Assis;Fiction;1866;pportal
28809;Os fidalgos da casa mourisca;Júlio Dinis;Classic;1871;pportal
7551;Os retirantes;José do Patrocínio;Romance;1878;pportal
43487;Os romances da semana;Joaquim Manuel de Macedo;Romance;1870;pportal
17497;Os Óculos de Pedro Antão;Machado de Assis;Fiction;1874;pportal
7499;Paga ou Morre!;Artur Azevedo;Classic;1891;pportal
1938;Papéis Avulsos;Machado de Assis;Fiction;1882;pportal
1934;Papéis Velhos;Machado de Assis;Fiction;1883;pportal
7438;Pequetita;Artur Azevedo;Classic;1886;pportal
7502;Piedade Filial;Artur Azevedo;Classic;1885;pportal
17494;Pobre Finoca;Machado de Assis;Classic;1891;pportal
2110;Poemas Humorísticos e Irônicos;João da Cruz e Sousa;Fiction;1898;pportal
17493;Possível e Impossível;Machado de Assis;Classic;1867;pportal
7505;Puelina;Artur Azevedo;Classic;1886;pportal
1926;Páginas Recolhidas;Machado de Assis;Classic;1899;pportal
17843;Qual dos dois;Machado de Assis;Classic;1872;pportal
16970;Quem Boa Cama Faz...;Machado de Assis;Classic;1875;pportal
17846;Quem não quer ser lobo...;Machado de Assis;Fiction;1872;pportal
17847;Questão de vaidade;Machado de Assis;Classic;1864;pportal
16972;Quincas Borba;Machado de Assis;Classic;1891;pportal
2159;Remissão de Pecados;Joaquim Manuel de Macedo;Romance;1880;pportal
17848;Ressureição;Machado de Assis;Fiction;1872;pportal
2160;Romance de uma Velha;Joaquim Manuel de Macedo;Romance;1862;pportal
86486;Rosa murcha;Casimiro de Abreu;Classic;1856;pportal
17849;Ruy de Leão;Machado de Assis;Fiction;1882;pportal
2026;Senhora;José de Alencar;Classic;1870;pportal
28815;Serões da província;Júlio Dinis;Classic;1870;pportal
1907;Singular Ocorrência;Machado de Assis;Short-Story;1883;pportal
7508;Sova bem Merecida;Artur Azevedo;Classic;1886;pportal
2088;Suspiros Poéticos e Saudades;Domingos Gonçalves de Magalhães;Classic;1836;pportal
1940;Teoria do Medalhão;Machado de Assis;Short-Story;1881;pportal
17851;Terpsícore;Machado de Assis;Fiction;1886;pportal
17874;Textos críticos;Machado de Assis;Fiction;1869;pportal
1974;Trio em Lá Menor;Machado de Assis;Short-Story;1886;pportal
17893;Troca de datas;Machado de Assis;Classic;1883;pportal
17892;Três conseqüências;Machado de Assis;Classic;1883;pportal
17853;Três tesouros perdidos;Machado de Assis;Fiction;1858;pportal
17855;Tu, só tu, puro amor;Machado de Assis;Fiction;1880;pportal
16679;Ubirajara;José de Alencar;Romance;1874;pportal
16978;Um Apólogo;Machado de Assis;Short-Story;1885;pportal
7511;Um Capricho;Artur Azevedo;Classic;1886;pportal
17434;Um Credor da Fazenda Nacional;Qorpo Santo;Fiction;1878;pportal
1929;Um Erradio;Machado de Assis;Classic;1882;pportal
16979;Um Homem Célebre;Machado de Assis;Fiction;1888;pportal
17856;Um almoço;Machado de Assis;Classic;1877;pportal
17857;Um ambicioso;Machado de Assis;Classic;1877;pportal
17858;Um cão de lata ao rabo;Machado de Assis;Classic;1878;pportal
17859;Um dia de entrudo;Machado de Assis;Classic;1874;pportal
17879;Um dístico;Machado de Assis;Classic;1886;pportal
17864;Um homem superior;Machado de Assis;Classic;1873;pportal
17865;Um quarto de século;Machado de Assis;Fiction;1893;pportal
17866;Um sonho e outro sonho;Machado de Assis;Fiction;1892;pportal
16538;Uma Lágrima de Mulher;Aluísio Azevedo;Fiction;1880;pportal
1782;Uma Praga Rogada nas Escadarias da Fôrca;Camilo Castelo Branco;Classic;1861;pportal
1911;Uma Senhora;Machado de Assis;Fiction;1883;pportal
1952;Uma Visita de Alcebíades;Machado de Assis;Fiction;1876;pportal
17908;Uma excursão milagrosa;Machado de Assis;Classic;1866;pportal
17869;Uma loureira;Machado de Assis;Classic;1872;pportal
17870;Uma ode de anacreonte;Machado de Assis;Classic;1870;pportal
17871;Uma partida;Machado de Assis;Fiction;1892;pportal
7516;Uma por Outra;Artur Azevedo;Classic;1890;pportal
17943;Uma por outra;Machado de Assis;Classic;1897;pportal
17867;Uma águia sem asas;Machado de Assis;Fiction;1872;pportal
1958;Umas Férias;Machado de Assis;Fiction;1860;pportal
16981;Uns Braços;Machado de Assis;Short-Story;1885;pportal
1953;Verba Testamentária;Machado de Assis;Classic;1882;pportal
16577;Viagem ao Parnaso;Artur Azevedo;Fiction;1890;pportal
17881;Viagem à roda de mim mesmo;Machado de Assis;Short-Story;1885;pportal
17910;Virginius;Machado de Assis;Fiction;1864;pportal
1964;Várias Histórias;Machado de Assis;Classic;1896;pportal
17911;Vênus! divina vênus!;Machado de Assis;Fiction;1893;pportal
1778;A Brasileira de Prazins;Camilo Castelo Branco;Fiction;1882;pportal
2123;A Carne;Júlio Ribeiro;Fiction;1888;pportal
16915;A Carteira;Machado de Assis;Short-Story;1884;pportal
1965;A Cartomante;Machado de Assis;Short-Story;1884;pportal
16917;A Causa Secreta;Machado de Assis;Short-Story;1885;pportal
2238;A Dama das Camélias;Alexandre Dumas;Fiction;1848;pportal
81913;A Dama do pé-de-cabra;Alexandre Herculano;Fiction;1874;pportal
16918;A Desejada das Gentes;Machado de Assis;Fiction;1886;pportal
17350;A Herança;Machado de Assis;Classic;1878;pportal
17352;A Inglezinha Barcelos;Machado de Assis;Fiction;1894;pportal
84539;A J. J. C. Macedo-Júnior;Casimiro de Abreu;Classic;1875;pportal
7440;A Ritinha;Artur Azevedo;Classic;1886;pportal
7387;A Semana Santa;Alexandre Herculano;Classic;1870;pportal
82111;A Ulina;Manuel Maria de Barbosa du Bocage;Classic;1804;pportal
16546;Abel e Helena;Artur Azevedo;Classic;1888;pportal
16528;Aos Vinte Anos;Aluísio Azevedo;Classic;1885;pportal
2201;Béatrix;Honoré de Balzac;Classic;1838;pportal
17319;Canto da Solidão;Bernardo Guimarães;Fiction;1852;pportal
84563;Cena íntima;Casimiro de Abreu;Classic;1855;pportal
17876;D. Jucunda;Machado de Assis;Fiction;1889;pportal
7413;Demônios;Aluísio Azevedo;Fiction;1893;pportal
17390;Desencantos;Machado de Assis;Fiction;1861;pportal
17392;Diana;Machado de Assis;Fiction;1866;pportal
2033;Diva;José de Alencar;Fiction;1864;pportal
84569;Dores;Casimiro de Abreu;Classic;1855;pportal
1896;Ernesto de Tal;Machado de Assis;Fiction;1873;pportal
1959;Evolução;Machado de Assis;Short-Story;1884;pportal
2070;Falenas;Machado de Assis;Fiction;1870;pportal
17882;Habilidoso;Machado de Assis;Fiction;1885;pportal
17878;Identidade;Machado de Assis;Fiction;1887;pportal
86443;Juriti;Casimiro de Abreu;Classic;1855;pportal
17898;Letra vencida;Machado de Assis;Fiction;1882;pportal
2013;Ao Entardecer (contos vários);Visconde de Taunay;Short-Story;1876;pportal
2133;As Mulheres de Mantilha;Joaquim Manuel de Macedo;Romance;1875;pportal
17380;Como se inventaram os almanaques;Machado de Assis;Classic;1884;pportal
1954;Maria Cora;Machado de Assis;Classic;1861;pportal
1978;Mariana;Machado de Assis;Classic;1891;pportal
17907;Miloca;Machado de Assis;Classic;1874;pportal
16950;Médico é Remédio;Machado de Assis;Classic;1897;pportal
17429;Médico é remédio;Machado de Assis;Classic;1897;pportal
7560;Na Academia Brasileira de Letras;Machado de Assis;Classic;1897;pportal
86452;No lar;Casimiro de Abreu;Classic;1860;pportal
2025;Noite na Taverna;Manuel Antônio Álvares de Azevedo;Fiction;1855;pportal
7427;O Asa-negra;Artur Azevedo;Classic;1888;pportal
7421;O Barão de Pituaçu;Artur Azevedo;Classic;1871;pportal
2052;O Califa da Rua do Sabão;Artur Azevedo;Classic;1896;pportal
2744;O Crime do Padre Amaro;José Maria Eça de Queirós;Classic;1875;pportal
1928;O Dicionário;Machado de Assis;Fiction;1885;pportal
2114;O Dote;Artur Azevedo;Classic;1888;pportal
7409;O Esqueleto;Aluísio Azevedo;Classic;1889;pportal
7484;O Gramático;Artur Azevedo;Classic;1878;pportal
7408;O Homem;Aluísio Azevedo;Fiction;1887;pportal
2152;O Judas em Sábado de Aleluia;Luís Carlos Martins Pena;Fiction;1865;pportal
2115;O Juiz de Paz da Roça;Luís Carlos Martins Pena;Fiction;1875;pportal
16621;O Mandarim;José Maria Eça de Queirós;Classic;1880;pportal
17474;O Pai;Machado de Assis;Fiction;1866;pportal
2745;O Primo Basílio;José Maria Eça de Queirós;Classic;1878;pportal
17479;O Protocolo;Machado de Assis;Fiction;1863;pportal
17464;O carro 13;Machado de Assis;Classic;1898;pportal
17889;O contrato;Machado de Assis;Classic;1884;pportal
17897;O programa;Machado de Assis;Classic;1882;pportal
17485;Onda;Machado de Assis;Classic;1867;pportal
2164;Os Dois ou o Inglês Maquinista;Luís Carlos Martins Pena;Fiction;1871;pportal
7501;Paulino e Roberto;Artur Azevedo;Classic;1886;pportal
17491;Pobre Cardeal!;Machado de Assis;Classic;1886;pportal
7503;Pobres Liberais!;Artur Azevedo;Classic;1879;pportal
7504;Poverina;Artur Azevedo;Classic;1886;pportal
86482;Primaveras;Casimiro de Abreu;Classic;1859;pportal
17006;Quem Casa, Quer Casa;Luís Carlos Martins Pena;Fiction;1857;pportal
7507;Sabina;Artur Azevedo;Classic;1890;pportal
17883;Só;Machado de Assis;Fiction;1885;pportal
1850;Til;José de Alencar;Fiction;1871;pportal
17432;Um Assovio;Qorpo Santo;Fiction;1866;pportal
7514;Uma Aposta;Artur Azevedo;Classic;1896;pportal
1771;Uma Véspera de Reis;Artur Azevedo;Classic;1895;pportal
17884;Uma carta;Machado de Assis;Fiction;1884;pportal
86495;Uma história;Casimiro de Abreu;Classic;1857;pportal
17912;Uma noite;Machado de Assis;Romance;1895;pportal
17872;Valério;Machado de Assis;Classic;1874;pportal
17891;Vidros quebrados;Machado de Assis;Classic;1883;pportal
16983;Viver;Machado de Assis;Fiction;1886;pportal
1982;Viver!;Machado de Assis;Fiction;1886;pportal
2200;A Esfinge sem Segredo;Oscar Wilde;Short-Story;1887;pportal
3407;A esfinge sem segredo;Oscar Wilde;Short-Story;1887;pportal
43217;Alfarrábios: o Garatuja;José de Alencar;Classic;1873;pportal
2134;As Vítimas-Algozes;Joaquim Manuel de Macedo;Fiction;1869;pportal
17403;Fernando e Fernanda;Machado de Assis;Classic;1865;pportal
17437;Muitos anos depois;Machado de Assis;Classic;1874;pportal
2146;No País dos Ianques;Adolfo Caminha;Romance;1894;pportal
20929;No país dos ianques;Adolfo Caminha;Romance;1894;pportal
16569;Nova Viagem à Lua;Artur Azevedo;Classic;1884;pportal
1910;Primas de Sapucaia;Machado de Assis;Fiction;1883;pportal
16525;Viagens na Minha Terra;João Batista da Silva Leitão de Almeida Garrett;Short-Story;1846;pportal
alencar1857;O Guarani;José de Alencar;Fiction;1857;colonia
alencar1862;Lucíola;José de Alencar;Fiction;1862;colonia
alencar1865;Iracema;José de Alencar;Classic;1865;colonia
alencar1875;Senhora;José de Alencar;Classic;1870;colonia
almeida1852;Memórias de um Sargento de Milícias;Manuel Antonio de Almeida;Classic;1854;colonia
azevedo1855;Noite na Taverna;Álvares de Azevedo;Fiction;1855;colonia
azevedo1884;Casa de Pensao;Aluisio Azevedo;Fiction;1884;colonia
azevedo1890;O Cortico;Aluisio Azevedo;Classic;1890;colonia
azevedo1895;O Livro de uma Sogra;Aluisio Azevedo;Fiction;1895;colonia
caminha1893;A Normalista;Adolfo Caminha;Fiction;1893;colonia
caminha1895;Bom Crioulo;Adolfo Caminha;Fiction;1895;colonia
garrett1846;Viagens na Minha Terra;Almeida Garrett;Classic;1846;colonia
macedo1844;A Moreninha;Joaquim Manuel de Macedo;Fiction;1844;colonia
machado1876;Helena;Machado de Assis;Classic;1876;colonia
machado1878;Iaiá Garcia;Machado de Assis;Fiction;1878;colonia
machado1881;Memórias Póstumas de Brás Cubas;Machado de Assis;Classic;1881;colonia
machado1885;Casa Velha;Machado de Assis;Classic;1863;colonia
machado1891;Quincas Borba;Machado de Assis;Classic;1891;colonia
machado1899;Dom Casmurro;Machado de Assis;Classic;1899;colonia
pompeia1888;O Ateneu;Raul Pompeia;Fiction;1888;colonia
queiroz1878;O Primo Basílio;Eca de Queiroz;Romance;1878;colonia
taunay1872;Inocencia;Visconde de Taunay;Fiction;1872;colonia
POR0001;A Morgadinha dos Canaviais;Júlio Dinis;Classic;1868;eltec
POR0004;Viagens na Minha Terra;Almeida Garrett;Classic;1846;eltec
POR0005;Os Maias;Eça de Queirós;Classic;1888;eltec
POR0007;Uma Família Inglesa;Júlio Dinis;Classic;1868;eltec
POR0009;O Crime do Padre Amaro;Eça de Queirós;Classic;1875;eltec
POR0010;Amor de Perdição;Camilo Castelo Branco;Classic;1861;eltec
POR0011;O Que Fazem Mulheres;Camilo Castelo Branco;Romance;1858;eltec
POR0012;Mistérios de Lisboa;Camilo Castelo Branco;Fiction;1854;eltec
POR0015;Os Fidalgos da Casa Mourisca;Júlio Dinis;Classic;1871;eltec
POR0023;Eurico o Presbítero;Alexandre Herculano;Classic;1844;eltec
POR0038;O Bobo;Alexandre Herculano;Fiction;1878;eltec
POR0043;O Brasileiro Soares;Luís de Magalhães;Fiction;1886;eltec
POR0053;O Barão de Lavos;Abel Botelho;Fiction;1891;eltec
POR0058;A guerrilha de Frei Simão: Romance histórico;Alberto Pimentel;Fiction;1895;eltec
POR0060;A ruiva;Fialho de Almeida;Fiction;1878;eltec
POR0063;O Mistério da Estrada de Sintra;Ramalho Ortigão e Eça de Queirós;Classic;1870;eltec
POR0089;Os Canibais;Álvaro do Carvalhal;Fiction;1866;eltec
POR0090;Lisboa no Ano Três Mil;Cândido de Figueiredo;Fiction;1892;eltec
POR0021;Uma Eleição Perdida;Conde de Ficalho;Fiction;1888;eltec
